,Shorthand,DOI,Authors,Journal,Title,Date,bioRxiv DOI,Reported cells total,Organism,Tissue,Technique,Data location,Panel size,Measurement,Cell source,Disease,Contrasts,Developmental stage,Number of reported cell types or clusters,Cell clustering,Pseudotime,RNA Velocity,PCA,tSNE,H5AD location,Isolation,BC --> Cell ID _OR_ BC --> Cluster ID,Number individuals,date,year,month,day,cells_per_donor
448,Ma et al SAdvances,10.1126/sciadv.aba5536,"Chao Ma, Matthew T. Witkowski, Jacob Harris, Igor Dolgalev, Sheetal Sreeram, Weiyi Qian, Jie Tong, Xin Chen, Iannis Aifantis, Weiqiang Chen",Sci. Adv.,Leukemia-on-a-chip: Dissecting the chemoresistance mechanisms in B cell acute lymphoblastic leukemia bone marrow niche,20201030,,14650.0,Human,Bone marrow,Chromium,GSE138811,,RNA-seq,,,,,,,,,,,,,,3.0,2020-10-30,2020,10,30,4883.333333333333
449,Mirizio et al ART,10.1186/s13075-020-02343-4,"Emily Mirizio, Tracy Tabib, Xiao Wang, Wei Chen, Christopher Liu, Robert Lafyatis, Heidi Jacobe, Kathryn S. Torok",Arthritis Res Ther,Single-cell transcriptome conservation in a comparative analysis of fresh and cryopreserved human skin tissue: pilot in localized scleroderma,20201109,,14901.0,Human,Skin,Chromium,GSE160536,,RNA-seq,,,,,,,,,,,,,,3.0,2020-11-09,2020,11,9,4967.0
450,Kuppe et al Nature,10.1038/s41586-020-2941-1,"Christoph Kuppe, Mahmoud M. Ibrahim, Jennifer Kranz, Xiaoting Zhang, Susanne Ziegler, Javier Perales-Patón, Jitske Jansen, Katharina C. Reimer, James R. Smith, Ross Dobie, John R. Wilson-Kanamori, Maurice Halder, Yaoxian Xu, Nazanin Kabgani, Nadine Kaesler, Martin Klaus, Lukas Gernhold, Victor G. Puelles, Tobias B. Huber, Peter Boor, Sylvia Menzel, Remco M. Hoogenboezem, Eric M. J. Bindels, Joachim Steffens, Jürgen Floege, Rebekka K. Schneider, Julio Saez-Rodriguez, Neil C. Henderson, Rafael Kramann",Nature,Decoding myofibroblast origins in human kidney fibrosis,20201111,,135000.0,"Human, Mouse",Kidney,Chromium & Smart-seq2,https://doi.org/10.5281/zenodo.4059315,,RNA-seq,,,Fibrosis vs Non-fibrosis controls,,50,Yes,,,,,,,,20.0,2020-11-11,2020,11,11,6750.0
451,Cao et al Science,10.1126/science.aba7721,"Junyue Cao, Diana R. O’Day, Hannah A. Pliner, Paul D. Kingsley, Mei Deng, Riza M. Daza, Michael A. Zager, Kimberly A. Aldinger, Ronnie Blecher-Gonen, Fan Zhang, Malte Spielmann, James Palis, Dan Doherty, Frank J. Steemers, Ian A. Glass, Cole Trapnell, Jay Shendure",Science,A human cell atlas of fetal gene expression,20201113,,4062980.0,Human,"Adrenal gland, Brain, Eye, Heart, Intestine, Kidney, Liver, Lung, Muscle, Pancreas, Placenta, Spleen, Stomach, Thymus",sci-RNA-seq3,GSE156793,,RNA-seq,,,,"10w, 12.9w, 14.3w, 15.7w, 17.1w",657,Yes,Yes,No,Yes,No,https://storage.googleapis.com/h5ad/10.1126-science.aba7721/GSE156793_S3_gene_count.h5ad,,,121.0,2020-11-13,2020,11,13,33578.347107438014
452,Tosti et al bioRxiv,10.1053/j.gastro.2020.11.010,"Luca Tosti, Yan Hang, Olivia Debnath, Sebastian Tiesmeyer, Timo Trefzer, Katja Steiger, Foo Wei Ten, Sören Lukassen, Simone Ballke, Anja A. Kühl, Simone Spieckermann, Rita Bottino, Naveed Ishaque, Wilko Weichert, Seung K. Kim, Roland Eils, Christian Conrad",Gastroenterology,Single nucleus and in situ RNA sequencing reveals cell topographies in the human pancreas,20201116,10.1101/733964,111169.0,Human,Pancreas,,,,RNA-seq,,,,,,,,,,,,,,13.0,2020-11-16,2020,11,16,8551.461538461539
453,Ursu et al bioRxiv,10.1101/2020.11.16.383307,"Oana Ursu, James T. Neal, Emily Shea, Pratiksha I. Thakore, Livnat Jerby-Arnon, Lan Nguyen, Danielle Dionne, Celeste Diaz, Julia Bauman, Mariam Mounir Mosaad, Christian Fagre, Andrew O. Giacomelli, Seav Huong Ly, Orit Rozenblatt-Rosen, William C. Hahn, Andrew J. Aguirre, Alice H. Berger, Aviv Regev, Jesse S. Boehm",bioRxiv,Massively parallel phenotyping of variant impact in cancer with Perturb-seq reveals a shift in the spectrum of cell states induced by somatic mutations,20201118,10.1101/2020.11.16.383307,162314.0,Human,Lung,Perturb-seq,,,RNA-seq,,,,,,,,,,,,,,,2020-11-18,2020,11,18,
454,Travaglini et al Nature,10.1038/s41586-020-2922-4,"Kyle J. Travaglini, Ahmad N. Nabhan, Lolita Penland, Rahul Sinha, Astrid Gillich, Rene V. Sit, Stephen Chang, Stephanie D. Conley, Yasuo Mori, Jun Seita, Gerald J. Berry, Joseph B. Shrager, Ross J. Metzger, Christin S. Kuo, Norma Neff, Irving L. Weissman, Stephen R. Quake, Mark A. Krasnow",Nature,A molecular cell atlas of the human lung from single-cell RNA sequencing,20201118,10.1101/742320,75000.0,Human,"Blood, Lung",Chromium & Smart-seq2,syn21041850,,RNA-seq,,,,,58,,,,,,,,,3.0,2020-11-18,2020,11,18,25000.0
455,Batiuk et al bioRxiv,10.1101/2020.11.17.386458,"Mykhailo Y. Batiuk, Teadora Tyler, Shenglin Mei, Rasmus Rydbirk, Viktor Petukhov, Dora Sedmak, Erzsebet Frank, Virginia Feher, Nikola Habek, Qiwen Hu, Anna Igolkina, Lilla Roszik, Ulrich Pfisterer, Zdravko Petanjek, Istvan Adorjan, Peter V. Kharchenko, Konstantin Khodosevich",bioRxiv,Selective vulnerability of supragranular layer neurons in schizophrenia,20201120,10.1101/2020.11.17.386458,290000.0,Human,Brain,Chromium,,,RNA-seq,Dorsolateral prefrontal cortex (dlPFC),Schizophrenia,,,36,Yes,No,No,Yes,No,,,,18.0,2020-11-20,2020,11,20,16111.111111111111
456,Shi et al Proteomics,10.1002/pmic.202000060,"Fanghao Shi, Fei Jia, Zewen Wei, Yan Ma, Zhiguo Fang, Weikai Zhang, Zhiyuan Hu",Proteomics,"A Microfluidic Chip for Efficient Circulating Tumor Cells Enrichment, Screening and Single‐cell RNA Sequencing",20201121,,26.0,Human,"Blood, Culture",SMARTer,,,RNA-seq,,,,,,,,,,,,,,,2020-11-21,2020,11,21,
457,Zou et al DCell,10.1016/j.devcel.2020.11.002,"Zhiran Zou, Xiao Long, Qian Zhao, Yandong Zheng, Moshi Song, Shuai Ma, Yaobin Jing, Si Wang, Yifang He, Concepcion Rodriguez Esteban, Nanze Yu, Jiuzuo Huang, Piu Chan, Ting Chen, Juan Carlos Izpisua Belmonte, Weiqi Zhang, Jing Qu, Guang-Hui Liu",Developmental Cell,A Single-Cell Transcriptomic Atlas of Human Skin Aging,20201124,,35678.0,Human,Skin,Chromium,HRA000395 ,,RNA-seq,Eyelid skin,,Age,,,,,,,,,,https://bigd.big.ac.cn/aging/landscape?project=Human_Skin,13.0,2020-11-24,2020,11,24,2744.4615384615386
458,Chopp et al Immunity,10.1016/j.immuni.2020.10.024,"Laura B. Chopp, Vishaka Gopalan, Thomas Ciucci, Allison Ruchinskas, Zachary Rae, Manon Lagarde, Yayi Gao, Caiyi Li, Marita Bosticardo, Francesca Pala, Ferenc Livak, Michael C. Kelly, Sridhar Hannenhalli, Rémy Bosselut",Immunity,An Integrated Epigenomic and Transcriptomic Map of Mouse and Human αβ T Cell Development,20201125,,,"Human, Mouse",Thymus,,,,,,,,,,,,,,,,,,3.0,2020-11-25,2020,11,25,
459,Bernardes et al Immunity,10.1016/j.immuni.2020.11.017,"Joana P. Bernardes, Neha Mishra, Florian Tran, Thomas Bahmer, Lena Best, Johanna I. Blase, Dora Bordoni, Jeanette Franzenburg, Ulf Geisen, Jonathan Josephs-Spaulding, Philipp Köhler, Axel Künstner, Elisa Rosati, Anna C. Aschenbrenner, Petra Bacher, Nathan Baran, Teide Boysen, Burkhard Brandt, Niklas Bruse, Jonathan Dörr, Andreas Dräger, Gunnar Elke, David Ellinghaus, Julia Fischer, Michael Forster, Andre Franke, Sören Franzenburg, Norbert Frey, Anette Friedrichs, Janina Fuß, Andreas Glück, Jacob Hamm, Finn Hinrichsen, Marc P. Hoeppner, Simon Imm, Ralf Junker, Sina Kaiser, Ying H. Kan, Rainer Knoll, Christoph Lange, Georg Laue, Clemens Lier, Matthias Lindner, Georgios Marinos, Robert Markewitz, Jacob Nattermann, Rainer Noth, Peter Pickkers, Klaus F. Rabe, Alina Renz, Christoph Röcken, Jan Rupp, Annika Schaffarzyk, Alexander Scheffold, Jonas Schulte-Schrepping, Domagoj Schunk, Dirk Skowasch, Thomas Ulas, Klaus-Peter Wandinger, Michael Wittig, Johannes Zimmermann, Hauke Busch, Bimba F. Hoyer, Christoph Kaleta, Jan Heyckendorf, Matthijs Kox, Jan Rybniker, Stefan Schreiber, Joachim L. Schultze, Philip Rosenstiel, Nicholas E. Banovich, Tushar Desai, Oliver Eickelberg, Muzlifa Haniffa, Peter Horvath, Jonathan A. Kropski, Robert Lafyatis, Joakim Lundeberg, Kerstin Meyer, Martijn C. Nawijn, Marko Nikolic, Jose Ordovas Montanes, Dana Pe’er, Purushothama Rao Tata, Emma Rawlins, Aviv Regev, Paul Reyfman, Christos Samakovlis, Joachim Schultze, Alex Shalek, Douglas Shepherd, Jason Spence, Sarah Teichmann, Fabian Theis, Alexander Tsankov, Maarten van den Berge, Michael von Papen, Jeffrey Whitsett, Laure Emmanuelle Zaragosi, Angel Angelov, Robert Bals, Alexander Bartholomäus, Anke Becker, Daniela Bezdan, Ezio Bonifacio, Peer Bork, Thomas Clavel, Maria Colme-Tatche, Andreas Diefenbach, Alexander Dilthey, Nicole Fischer, Konrad Förstner, Julia-Stefanie Frick, Julien Gagneur, Alexander Goesmann, Torsten Hain, Michael Hummel, Stefan Janssen, Jörn Kalinowski, René Kallies, Birte Kehr, Andreas Keller, Sarah Kim-Hellmuth, Christoph Klein, Oliver Kohlbacher, Jan O. Korbel, Ingo Kurth, Markus Landthaler, Yang Li, Kerstin Ludwig, Oliwia Makarewicz, Manja Marz, Alice McHardy, Christian Mertes, Markus Nöthen, Peter Nürnberg, Uwe Ohler, Stephan Ossowski, Jörg Overmann, Silke Peter, Klaus Pfeffer, Anna R. Poetsch, Alfred Pühler, Niklaus Rajewsky, Markus Ralser, Olaf Rieß, Stephan Ripke, Ulisses Nunes da Rocha, Philip Rosenstiel, Antoine-Emmanuel Saliba, Leif Erik Sander, Birgit Sawitzki, Philipp Schiffer, Eva-Christina Schulte, Joachim L. Schultze, Alexander Sczyrba, Oliver Stegle, Jens Stoye, Fabian Theis, Janne Vehreschild, Jörg Vogel, Max von Kleist, Andreas Walker, Jörn Walter, Dagmar Wieczorek, John Ziebuhr",Immunity,"Longitudinal Multi-omics Analyses Identify Responses of Megakaryocytes, Erythroid Cells, and Plasmablasts as Hallmarks of Severe COVID-19",20201126,,358000.0,Human,Blood,Chromium,,,RNA-seq,,COVID-19,,,,,,,,,,,,14.0,2020-11-26,2020,11,26,25571.428571428572
460,Olah et al NCommunications,10.1038/s41467-020-19737-2,"Marta Olah, Vilas Menon, Naomi Habib, Mariko F. Taga, Yiyi Ma, Christina J. Yung, Maria Cimpean, Anthony Khairallah, Guillermo Coronas-Samano, Roman Sankowski, Dominic Grün, Alexandra A. Kroshilina, Danielle Dionne, Rani A. Sarkis, Garth R. Cosgrove, Jeffrey Helgager, Jeffrey A. Golden, Page B. Pennell, Marco Prinz, Jean Paul G. Vonsattel, Andrew F. Teich, Julie A. Schneider, David A. Bennett, Aviv Regev, Wassim Elyaman, Elizabeth M. Bradshaw, Philip L. De Jager",Nat Commun,Single cell RNA sequencing of human microglia uncovers a subset associated with Alzheimer’s disease,20201130,,16242.0,Human,Brain,Chromium,syn21438358,,RNA-seq,Microglia,Alzheimer's disease,AD vs Healthy,,14,Yes,No,No,Yes,Yes,,,Supplementary Data 14 and 15,17.0,2020-11-30,2020,11,30,955.4117647058823
461,Marsh et al bioRxiv,10.1101/2020.12.03.408542,"Samuel E. Marsh, Tushar Kamath, Alec J. Walker, Lasse Dissing-Olesen, Timothy R. Hammond, Adam M.H. Young, Abdulraouf Abdulraouf, Naeem Nadaf, Connor Dufort, Sarah Murphy, Velina Kozareva, Charles Vanderburg, Soyon Hong, Harry Bulstrode, Peter J. Hutchinson, Daniel J. Gaffney, Robin J.M. Franklin, Evan Z. Macosko, Beth Stevens",bioRxiv,Single Cell Sequencing Reveals Glial Specific Responses to Tissue Processing & Enzymatic Dissociation in Mice and Humans,20201204,10.1101/2020.12.03.408542,19563.0,"Human, Mouse",Brain,Chromium,GSE152184,,RNA-seq,,,,,9,Yes,No,No,Yes,Yes,,,,3.0,2020-12-04,2020,12,4,6521.0
462,He et al GBiology,10.1186/s13059-020-02210-0,"Shuai He, Lin-He Wang, Yang Liu, Yi-Qi Li, Hai-Tian Chen, Jing-Hong Xu, Wan Peng, Guo-Wang Lin, Pan-Pan Wei, Bo Li, Xiaojun Xia, Dan Wang, Jin-Xin Bei, Xiaoshun He, Zhiyong Guo",Genome Biol,Single-cell transcriptome profiling of an adult human cell atlas of 15 major organs,20201207,10.1101/2020.03.18.996975,88622.0,Human,"Bladder, Blood, Bone marrow, Bile duct, Esophagus, Heart, Large intestine, Liver, Lymph node, Muscle, Skin, Small intestine, Spleen, Stomach, Trachea",Chromium,GSE159929,,RNA-seq,,,,,234,Yes,,,,,,,,1.0,2020-12-07,2020,12,7,88622.0
463,Zheng et al NCommunications,10.1038/s41467-020-20019-0,"Yingxia Zheng, Zheyi Chen, Yichao Han, Li Han, Xin Zou, Bingqian Zhou, Rui Hu, Jie Hao, Shihao Bai, Haibo Xiao, Wei Vivian Li, Alex Bueker, Yanhui Ma, Guohua Xie, Junyao Yang, Shiyu Chen, Hecheng Li, Jian Cao, Lisong Shen",Nat Commun,Immune suppressive landscape in the human esophageal squamous cell carcinoma microenvironment,20201208,,80787.0,Human,Tumor,Chromium,GSE145370,,RNA-seq,,,TCR,,,,,,,,,,,7.0,2020-12-08,2020,12,8,11541.0
464,Leimkühler et al CSC,10.1016/j.stem.2020.11.004,"Nils B. Leimkühler, Hélène F.E. Gleitz, Li Ronghui, Inge A.M. Snoeren, Stijn N.R. Fuchs, James S. Nagai, Bella Banjanin, King H. Lam, Thomas Vogl, Christoph Kuppe, Ursula S.A. Stalmann, Guntram Büsche, Hans Kreipe, Ines Gütgemann, Philippe Krebs, Yara Banz, Peter Boor, Evelyn Wing-Yin Tai, Tim H. Brümmendorf, Steffen Koschmieder, Martina Crysandt, Eric Bindels, Rafael Kramann, Ivan G. Costa, Rebekka K. Schneider",Cell Stem Cell,Heterogeneous bone-marrow stromal progenitors drive myelofibrosis via a druggable alarmin axis,20201209,,2294.0,Human,Bone marrow,Chromium,GSE156644,,RNA-seq,,,Myelofibrosis vs Non-fibrosis controls,,,,,,,,,,,3.0,2020-12-09,2020,12,9,764.6666666666666
465,Zhou et al NCommunications,10.1038/s41467-020-20059-6,"Yan Zhou, Dong Yang, Qingcheng Yang, Xiaobin Lv, Wentao Huang, Zhenhua Zhou, Yaling Wang, Zhichang Zhang, Ting Yuan, Xiaomin Ding, Lina Tang, Jianjun Zhang, Junyi Yin, Yujing Huang, Wenxi Yu, Yonggang Wang, Chenliang Zhou, Yang Su, Aina He, Yuanjue Sun, Zan Shen, Binzhi Qian, Wei Meng, Jia Fei, Yang Yao, Xinghua Pan, Peizhan Chen, Haiyan Hu",Nat Commun,Single-cell RNA landscape of intratumoral heterogeneity and immunosuppressive microenvironment in advanced osteosarcoma,20201210,,100987.0,Human,Tumor,Chromium,GSE152048,,RNA-seq,,,,,,,,,,,,,,11.0,2020-12-10,2020,12,10,9180.636363636364
466,Campinoti et al NCommunications,10.1038/s41467-020-20082-7,"Sara Campinoti, Asllan Gjinovci, Roberta Ragazzini, Luca Zanieri, Linda Ariza-McNaughton, Marco Catucci, Stefan Boeing, Jong-Eun Park, John C. Hutchinson, Miguel Muñoz-Ruiz, Pierluigi G. Manti, Gianluca Vozza, Carlo E. Villa, Demetra-Ellie Phylactopoulos, Constance Maurer, Giuseppe Testa, Hans J. Stauss, Sarah A. Teichmann, Neil J. Sebire, Adrian C. Hayday, Dominique Bonnet, Paola Bonfanti",Nat Commun,Reconstitution of a functional human thymus by postnatal stromal progenitor cells and natural whole-organ scaffolds,20201211,,,Human,Thymus,Chromium,GSE159745,,RNA-seq,mTECs and cTECs,,,,15,Yes,,,,No,,,,33.0,2020-12-11,2020,12,11,
467,Dong et al CBiology,10.1038/s42003-020-01476-1,"Baijun Dong, Juju Miao, Yanqing Wang, Wenqin Luo, Zhongzhong Ji, Huadong Lai, Man Zhang, Xiaomu Cheng, Jinming Wang, Yuxiang Fang, Helen He Zhu, Chee Wai Chua, Liancheng Fan, Yinjie Zhu, Jiahua Pan, Jia Wang, Wei Xue, Wei-Qiang Gao",Commun Biol,Single-cell analysis supports a luminal-neuroendocrine transdifferentiation in human prostate cancer,20201216,,21292.0,Human,"Prostate, Tumor",Chromium,GSE137829,,RNA-seq,,Neuroendocrine prostate cancer,,,,,,,,,,,,6.0,2020-12-16,2020,12,16,3548.6666666666665
468,Ranzoni et al CSC,10.1016/j.stem.2020.11.015,"Anna Maria Ranzoni, Andrea Tangherloni, Ivan Berest, Simone Giovanni Riva, Brynelle Myers, Paulina M. Strzelecka, Jiarui Xu, Elisa Panada, Irina Mohorianu, Judith B. Zaugg, Ana Cvejic",Cell Stem Cell,Integrative Single-Cell RNA-Seq and ATAC-Seq Analysis of Human Developmental Hematopoiesis,20201221,,4504.0,Human,"Bone marrow, Liver",Smart-seq2,E-MTAB-9067,,RNA-seq,HSPCs and mature blood cells,,,17-22 pcw,,,,,,,,,,15.0,2020-12-21,2020,12,21,300.26666666666665
469,Jabbari et al CRM,10.1016/j.xcrm.2020.100160,"Neda Jabbari, Heidi L. Kenerson, Christopher Lausted, Xiaowei Yan, Changting Meng, Kevin M. Sullivan, Priyanka Baloni, Dani Bergey, Venu G. Pillarisetty, Leroy E. Hood, Raymond S. Yeung, Qiang Tian",Cell Reports Medicine,Modulation of Immune Checkpoints by Chemotherapy in Human Colorectal Liver Metastases,20201222,,7580.0,Human,Liver,Chromium,https://doi.org/10.5061/dryad.pvmcvdngt,,RNA-seq,Colorectal cancer,,,,,,,,,,,,,8.0,2020-12-22,2020,12,22,947.5
470,Hemming et al Immunity,10.1016/j.immuni.2020.12.011,"Michael Heming, Xiaolin Li, Saskia Räuber, Anne K. Mausberg, Anna-Lena Börsch, Maike Hartlehnert, Arpita Singhal, I-Na Lu, Michael Fleischer, Fabian Szepanowski, Oliver Witzke, Thorsten Brenner, Ulf Dittmer, Nir Yosef, Christoph Kleinschnitz, Heinz Wiendl, Mark Stettner, Gerd Meyer zu Hörste",Immunity,Neurological Manifestations of COVID-19 Feature T Cell Exhaustion and Dedifferentiated Monocytes in Cerebrospinal Fluid,20201223,,80919.0,Human,Cerebrospinal fluid,Chromium,GSE163005,,RNA-seq,,"COVID-19, Viral encephalitis, Multiple sclerosis","Disease, TCR",,,,,,,,,,,8.0,2020-12-23,2020,12,23,10114.875
471,He et al bioRxiv,10.1101/2020.12.22.423948,"Jian He, Jing Yan, Jianfang Wang, Liangyu Zhao, Qian Xin, Yang Zeng, Yuxi Sun, Han Zhang, Zhijie Bai, Zongcheng Li, Yanli Ni, Yandong Gong, Yunqiao Li, Han He, Zhilei Bian, Yu Lan, Chunyu Ma, Lihong Bian, Heng Zhu, Bing Liu, Rui Yue",bioRxiv,Dissecting human skeletal stem cell ontogeny by single-cell transcriptomic and functional analyses,20201223,10.1101/2020.12.22.423948,35570.0,Human,Bone,Chromium,GSE143753,,RNA-seq,,,,,,,,,,,,,,6.0,2020-12-23,2020,12,23,5928.333333333333
472,Cain et al bioRxiv,10.1101/2020.12.22.424084,"Anael Cain, Mariko Taga, Cristin McCabe, Idan Hekselman, Charles C. White, Gilad Green, Orit Rozenblatt-Rosen, Feng Zhang, Esti Yeger-Lotem, David A. Bennett, Hyun-Sik Yang, Aviv Regev, Vilas Menon, Naomi Habib, Philip L. De Jager",bioRxiv,Multi-cellular communities are perturbed in the aging human brain and with Alzheimer’s disease,20201224,10.1101/2020.12.22.424084,,Human,Brain,Chromium,,,RNA-seq,Prefrontal cortex,,,,,,,,,,,,,24.0,2020-12-24,2020,12,24,
473,Evren et al immunity,10.1016/j.immuni.2020.12.003,"Elza Evren, Emma Ringqvist, Kumar Parijat Tripathi, Natalie Sleiers, Inés Có Rives, Arlisa Alisjahbana, Yu Gao, Dhifaf Sarhan, Tor Halle, Chiara Sorini, Rico Lepzien, Nicole Marquardt, Jakob Michaëlsson, Anna Smed-Sörensen, Johan Botling, Mikael C.I. Karlsson, Eduardo J. Villablanca, Tim Willinger",Immunity,Distinct developmental pathways from blood monocytes generate human lung macrophage diversity,20201230,,30721.0,Human,Lung,Chromium,,,RNA-seq,Myeloids,,,,,,,,,,,,,,2020-12-30,2020,12,30,
474,Li et al TOS,10.1016/j.jtos.2020.12.004,"De-Quan Li, Sangbae Kim, Jin-Miao Li, Qianmiao Gao, Jongsu Choi, Fang Bian, Jiaoyue Hu, Yun Zhang, Jin Li, Rong Lu, Yumei Li, Stephen C. Pflugfelder, Hongyu Miao, Rui Chen",The Ocular Surface,Single-cell transcriptomics identifies limbal stem cell population and cell types mapping its differentiation trajectory in limbal basal epithelium of human cornea,20210101,,16360.0,Human,Cornea,Chromium,,,RNA-seq,,,,,12,,,,,,,,,2.0,2021-01-01,2021,1,1,8180.0
475,Richards et al NCancer,10.1038/s43018-020-00154-9,"Laura M. Richards, Owen K. N. Whitley, Graham MacLeod, Florence M. G. Cavalli, Fiona J. Coutinho, Julia E. Jaramillo, Nataliia Svergun, Mazdak Riverin, Danielle C. Croucher, Michelle Kushida, Kenny Yu, Paul Guilhamon, Naghmeh Rastegar, Moloud Ahmadi, Jasmine K. Bhatti, Danielle A. Bozek, Naijin Li, Lilian Lee, Clare Che, Erika Luis, Nicole I. Park, Zhiyu Xu, Troy Ketela, Richard A. Moore, Marco A. Marra, Julian Spears, Michael D. Cusimano, Sunit Das, Mark Bernstein, Benjamin Haibe-Kains, Mathieu Lupien, H. Artee Luchman, Samuel Weiss, Stephane Angers, Peter B. Dirks, Gary D. Bader, Trevor J. Pugh",Nat Cancer,Gradient of Developmental and Injury Response transcriptional states defines functional vulnerabilities underpinning glioblastoma heterogeneity,20210104,,125000.0,Human,,Chromium,EGAS00001004656,,RNA-seq,Glioblastoma,,,,,,,,,,,,,26.0,2021-01-04,2021,1,4,4807.692307692308
476,Wang et al NMedicine,10.1038/s41591-020-1125-8,"Ruiping Wang, Minghao Dang, Kazuto Harada, Guangchun Han, Fang Wang, Melissa Pool Pizzi, Meina Zhao, Ghia Tatlonghari, Shaojun Zhang, Dapeng Hao, Yang Lu, Shuangtao Zhao, Brian D. Badgwell, Mariela Blum Murphy, Namita Shanbhag, Jeannelyn S. Estrella, Sinchita Roy-Chowdhuri, Ahmed Adel Fouad Abdelhakeem, Yuanxin Wang, Guang Peng, Samir Hanash, George A. Calin, Xingzhi Song, Yanshuo Chu, Jianhua Zhang, Mingyao Li, Ken Chen, Alexander J. Lazar, Andrew Futreal, Shumei Song, Jaffer A. Ajani, Linghua Wang",Nat Med,Single-cell dissection of intratumoral heterogeneity and lineage diversity in metastatic gastric adenocarcinoma,20210104,,45048.0,Human,,,EGAS00001004443,,RNA-seq,,Gastric adenocarcinoma,,,,,,,,,,,,15.0,2021-01-04,2021,1,4,3003.2
477,Fawkner-Corbett et al Cell,10.1016/j.cell.2020.12.016,"David Fawkner-Corbett, Agne Antanaviciute, Kaushal Parikh, Marta Jagielowicz, Ana Sousa Gerós, Tarun Gupta, Neil Ashley, Doran Khamis, Darren Fowler, Edward Morrissey, Chris Cunningham, Paul R.V. Johnson, Hashem Koohy, Alison Simmons",Cell,Spatiotemporal analysis of human intestinal development at single-cell resolution,20210107,,98866.0,Human,Intestine,Chromium,GSE158702,,RNA-seq,,,,,,,,,,,,,,17.0,2021-01-07,2021,1,7,5815.64705882353
478,Mazzurana et al CReasearch,10.1038/s41422-020-00445-x,"Luca Mazzurana, Paulo Czarnewski, Viktor Jonsson, Leif Wigge, Markus Ringnér, Teresa C. Williams, Avinash Ravindran, Åsa K. Björklund, Jesper Säfholm, Gunnar Nilsson, Sven-Erik Dahlén, Ann-Charlotte Orre, Mamdoh Al-Ameri, Charlotte Höög, Charlotte Hedin, Sylwester Szczegielniak, Sven Almer, Jenny Mjösberg",Cell Res,Tissue-specific transcriptional imprinting and heterogeneity in human innate lymphoid cells revealed by full-length single-cell RNA-sequencing,20210108,,2956.0,Human,"Blood, Colon, Lung, Tonsil",Smart-seq2,GSE150050,,RNA-seq,"ILCs, NKs, CD4 Ts",,,,,,,,,,,,,10.0,2021-01-08,2021,1,8,295.6
479,Chen et al NCB,10.1038/s41556-020-00613-6,"Sujun Chen, Guanghui Zhu, Yue Yang, Fubo Wang, Yu-Tian Xiao, Na Zhang, Xiaojie Bian, Yasheng Zhu, Yongwei Yu, Fei Liu, Keqin Dong, Javier Mariscal, Yin Liu, Fraser Soares, Helen Loo Yau, Bo Zhang, Weidong Chen, Chao Wang, Dai Chen, Qinghua Guo, Zhengfang Yi, Mingyao Liu, Michael Fraser, Daniel D. De Carvalho, Paul C. Boutros, Dolores Di Vizio, Zhou Jiang, Theodorus van der Kwast, Alejandro Berlin, Song Wu, Jianhua Wang, Housheng Hansen He, Shancheng Ren",Nat Cell Biol,Single-cell analysis reveals transcriptomic remodellings in distinct cell types that contribute to human prostate cancer progression,20210108,,36424.0,Human,"Prostate, Tumor",Chromium,GSE141445,,RNA-seq,,Prostate cancer,,,,,,,,,,,,13.0,2021-01-08,2021,1,8,2801.846153846154
480,Bunis et al CReports,10.1016/j.celrep.2020.108573,"Daniel G. Bunis, Yelena Bronevetsky, Elisabeth Krow-Lucal, Nirav R. Bhakta, Charles C. Kim, Srilaxmi Nerella, Norman Jones, Ventura F. Mendoza, Yvonne J. Bryson, James E. Gern, Rachel L. Rutishauser, Chun Jimmie Ye, Marina Sirota, Joseph M. McCune, Trevor D. Burt",Cell Reports,Single-Cell Mapping of Progressive Fetal-to-Adult Transition in Human Naive T Cells,20210110,,40152.0,Human,Bone marrow,Chromium,GSE158490,,RNA-seq,Purified HSPCs,,Fetal vs Newborn vs Adult,,,,,,,,,,,22.0,2021-01-10,2021,1,10,1825.090909090909
481,Louka et al JEM,10.1084/jem.20180853,"Eleni Louka, Benjamin Povinelli, Alba Rodriguez-Meira, Gemma Buck, Wei Xiong Wen, Guanlin Wang, Nikolaos Sousos, Neil Ashley, Angela Hamblin, Christopher A.G. Booth, Anindita Roy, Natalina Elliott, Deena Iskander, Josu de la Fuente, Nicholas Fordham, Sorcha O’Byrne, Sarah Inglott, Ruggiero Norfo, Mariolina Salio, Supat Thongjuea, Anupama Rao, Irene Roberts, Adam J. Mead",Journal of Experimental Medicine,Heterogeneous disease-propagating stem cells in juvenile myelomonocytic leukemia,20210113,10.1101/628479,,Human,,,,,RNA-seq,,,,,,,,,,,,,,4.0,2021-01-13,2021,1,13,
