,Shorthand,DOI,Number individuals,N_individulas sentence,chatgpt_sentence,Organism,Reported cells total,Tissue,Tissue_type,tissue_accessibility,Contrasts,excluded,Authors,Journal,Title,Publication date,bioRxiv DOI,Technique,Data location,Panel size,Measurement,Cell source,Disease,Developmental stage,Number of reported cell types or clusters,Cell clustering,Pseudotime,RNA Velocity,PCA,tSNE,H5AD location,Isolation,BC --> Cell ID _OR_ BC --> Cluster ID,DOI_oroginal,do_DOI_match,Shorthand_origina,do_shorthands_match,Number individuals original
906,Mayr et al medRxiv,10.1101/2020.01.21.20018358,14,,"Single-cell RNA sequencing data was analyzed for 11 donors with non-fibrotic control tissues, and 3 donors with end-stage lung fibrosis tissues, as mentioned in the sentence ""To analyze transcriptional changes in lung fibrosis at cellular resolution, we obtained whole lung parenchyma  single cell suspensions using non-fibrotic control tissues from 11 donors and endstage lung fibrosis tissues from three ILD patients.""",Human,"233,638",Lung,Respiratory system,3,,,"Christoph H. Mayr, Lukas M. Simon, Gabriela Leuschner, Meshal Ansari, Philipp Emanuel Geyer, Ilias Angelidis, Maximilian Strunz, Pawandeep Singh, Nikolaus Kneidinger, Frank Reichenberger, Edith Silbernagel, Stephan Boehm, Heiko Adler, Anne Hilgendorff, Michael Lindner, Antje Prasse, Juergen Behr, Matthias Mann, Oliver Eickelberg, Fabian J. Theis, Herbert B Schiller",medRxiv,Integrated single cell analysis of human lung fibrosis resolves cellular origins of predictive protein signatures in body fluids,27/01/2020,10.1101/2020.01.21.20018358,Drop-seq,,,RNA-seq,,,,,,,,,,,,,10.1101/2020.01.21.20018358,1,Mayr et al medRxiv,1,
907,Orozco et al CReports,10.1016/j.celrep.2019.12.082,5,,"Single-nucleus RNA-seq (NucSeq) data was analyzed from more than 100,000 cells from 5 human donor eyes. (Source: ""Our database comprises macular and non-macular RNA sequencing (RNA-seq) proﬁles from 129 donors [...] and single-nucleus RNA-seq (NucSeq) from human retina and RPE with subtype resolution from more than 100,000 cells."")",Human,"100,055",Eye,Visual system,3,,,"Luz D. Orozco, Hsu-Hsin Chen, Christian Cox, Kenneth J. Katschke, Rommel Arceo, Carmina Espiritu, Patrick Caplazi, Sarajane Saturnio Nghiem, Ying-Jiun Chen, Zora Modrusan, Amy Dressen, Leonard D. Goldstein, Christine Clarke, Tushar Bhangale, Brian Yaspan, Marion Jeanne, Michael J. Townsend, Menno van Lookeren Campagne, Jason A. Hackney",Cell Reports,Integration of eQTL and a Single-Cell Atlas in the Human Eye Identifies Causal Genes for Age-Related Macular Degeneration,28/01/2020,-,Chromium,GSE135133,,RNA-seq,Nuclei from eyes with no retinal disease,,,27,Yes,No,No,Yes,Yes,,,GSE135133,10.1016/j.celrep.2019.12.082,1,Orozco et al CReports,1,
908,Rendeiro et al NCommunications,10.1038/s41467-019-14081-6,7,"To dissect the precise cellular and molecular changes induced by ibrutinib therapy, and to identify candidate molecular markers of therapy response, here we follow individual patients with CLL (n = 7) at high temporal resolution (up to eight time points) over a standardized 240-day time course of ibrutinib treatment. Peripheral blood samples are analyzed for cell composition by flow cytometry, for epigenetic/regulatory cell state by ATAC-seq27 on six different FACS-purified immune cell populations (158 ATAC-seq profiles in total), and for cell type specific transcriptional changes by single-cell RNA-seq28 (scRNA-seq) applied to a subset of time points (>43,000 single-cell transcriptomes in total).","Single-cell RNA sequencing data were analyzed for a subset of patients and time points, totaling >43,000 single-cell transcriptomes in total. However, it is not specified how many donors (patients, individuals) were included in the study.",Human,"43,000",Blood,Blood,1,,,"André F. Rendeiro, Thomas Krausgruber, Nikolaus Fortelny, Fangwen Zhao, Thomas Penz, Matthias Farlik, Linda C. Schuster, Amelie Nemc, Szabolcs Tasnády, Marienn Réti, Zoltán Mátrai, Donát Alpár, Csaba Bödör, Christian Schmidl, Christoph Bock",Nat Commun,Chromatin mapping and single-cell immune profiling define the temporal dynamics of ibrutinib response in CLL,29/01/2020,10.1101/597005,Chromium,GSE111015,,RNA-seq,CLL,,,,,,,,,,,,10.1038/s41467-019-14081-6,1,Rendeiro et al NCommunications,1,
909,Rendeiro et al NCommunications,10.1038/s41467-019-14081-6,,,"Single-cell RNA sequencing data were analyzed for a subset of patients and time points, totaling >43,000 single-cell transcriptomes in total. However, it is not specified how many donors (patients, individuals) were included in the study.",Human,,Blood,,,,Duplicated,"André F. Rendeiro, Thomas Krausgruber, Nikolaus Fortelny, Fangwen Zhao, Thomas Penz, Matthias Farlik, Linda C. Schuster, Amelie Nemc, Szabolcs Tasnády, Marienn Réti, Zoltán Mátrai, Donát Alpár, Csaba Bödör, Christian Schmidl, Christoph Bock",Nat Commun,Chromatin mapping and single-cell immune profiling define the temporal dynamics of ibrutinib response in CLL,29/01/2020,,Chromium,,,RNA-seq,,,,,,,,,,,,,10.1038/s41467-019-14081-6,1,Rendeiro et al NCommunications,1,
910,Oatley et al bioRxiv,10.1038/s41467-019-14171-5,,,,Mouse,94,,,,,,"Morgan Oatley, Özge Vargel Bölükbası, Valentine Svensson, Maya Shvartsman, Kerstin Ganter, Katharina Zirngibl, Polina V. Pavlovich, Vladislava Milchevskaya, Vladimira Foteva, Kedar N. Natarajan, Bianka Baying, Vladimir Benes, Kiran R. Patil, Sarah A. Teichmann, Christophe Lancrin",Nat Commun,Single-cell transcriptomics identifies CD44 as a marker and regulator of endothelial to haematopoietic transition,20200129,10.1101/338178,SMARTer (C1),E-MTAB-6987,,RNA-seq,,,E10.5,,,,,,,,,,10.1038/s41467-019-14171-5,1,Oatley et al bioRxiv,1,
911,Wolfien et al Cells,10.3390/cells9020318,,,,Mouse,,Heart,,,,,"Markus Wolfien, Anne-Marie Galow, Paula Müller, Madeleine Bartsch, Ronald M. Brunner, Tom Goldammer, Olaf Wolkenhauer, Andreas Hoeflich, Robert David",Cells,Single-Nucleus Sequencing of an Entire Mammalian Heart: Cell Type Composition and Velocity,20200129,,Chromium,,,RNA-seq,,,,,,,,,,,,,10.3390/cells9020318,1,Wolfien et al Cells,1,
912,Bhaduri et al Nature,10.1038/s41586-020-1962-0,,,,Human,"424,530","Brain, Culture",,,"Primary vs Organoid, 7 cortical regions, 3 organoid protocols, iPSC vs ESC, Differentiation times 3w 5w 8w 10w 15w 24w, pre vs post primary-to-organoid transplantaion",Organoid data,"Aparna Bhaduri, Madeline G. Andrews, Walter Mancia Leon, Diane Jung, David Shin, Denise Allen, Dana Jung, Galina Schmunk, Maximilian Haeussler, Jahan Salma, Alex A. Pollen, Tomasz J. Nowakowski, Arnold R. Kriegstein",Nature,Cell stress in cortical organoids impairs molecular subtype specification,29/01/2020,,,,,RNA-seq,"Human cortex (central (motor), V1, parietal, frontal, temporal), hippocampus, and cortical organoids",,"GW6 - GW22, GW14, GW18, GW22",,,,,,Yes,,,,10.1038/s41586-020-1962-0,1,Bhaduri et al Nature,1,
913,Selewa et al SReports,10.1038/s41598-020-58327-6,,,,Human,"42,704",Culture,,,,,"Alan Selewa, Ryan Dohn, Heather Eckart, Stephanie Lozano, Bingqing Xie, Eric Gauchat, Reem Elorbany, Katherine Rhodes, Jonathan Burnett, Yoav Gilad, Sebastian Pott, Anindita Basu",Sci Rep,Systematic Comparison of High-throughput Single-Cell and Single-Nucleus Transcriptomes during Cardiomyocyte Differentiation,20200130,10.1101/585901,Drop-seq & DroNc-seq,GSE129096,,RNA-seq,iPSCs differentiating to cardiomyocytes,,,,Yes,Yes,,,Yes,,,,10.1038/s41598-020-58327-6,1,Selewa et al SReports,1,
914,Wang et al Cell,10.1016/j.cell.2020.01.009,8,,"Single-cell RNA sequencing data were analyzed for 8 individuals in this study. ""After stringent cell ﬁltration, the high-quality transcriptomes of 2,601 single cells (418 oocytes and 2,183 somatic cells) collected from four young and four aged individuals were retained for subsequent analyses""","Crab-eating macaque, Human","2,000","Culture, Ovary",Reproductive system,3,Young vs Old,,"Si Wang, Yuxuan Zheng, Jingyi Li, Yang Yu, Weiqi Zhang, Moshi Song, Zunpeng Liu, Zheying Min, Huifang Hu, Ying Jing, Xiaojuan He, Liang Sun, Lifang Ma, Concepcion Rodriguez Esteban, Piu Chan, Jie Qiao, Qi Zhou, Juan Carlos Izpisua Belmonte, Jing Qu, Fuchou Tang, Guang-Hui Liu",Cell,Single-Cell Transcriptomic Atlas of Primate Ovarian Aging,30/01/2020,,STRT-seq,GSE130664,,RNA-seq,,,"4-5 years, 18-20 years",,,,,,,,,,10.1016/j.cell.2020.01.009,1,Wang et al Cell,1,
915,Wertz et al Neuron,10.1016/j.neuron.2020.01.004,,,,Mouse,,Brain,,,,,"Mary H. Wertz, Mollie R. Mitchem, S. Sebastian Pineda, Lea J. Hachigian, Hyeseung Lee, Vanessa Lau, Alex Powers, Ruth Kulicke, Gurrein K. Madan, Medina Colic, Martine Therrien, Amanda Vernon, Victoria F. Beja-Glasser, Mudra Hegde, Fan Gao, Manolis Kellis, Traver Hart, John G. Doench, Myriam Heiman",Neuron,Genome-wide In Vivo CNS Screening Identifies Genes that Modify CNS Neuronal Survival and mHTT Toxicity,20200130,,Chromium,,,RNA-seq,,,,,,,,,,,,,10.1016/j.neuron.2020.01.004,1,Wertz et al Neuron,1,
916,Hurley et al CSC,10.1016/j.stem.2019.12.009,,,,Human,,Culture,,,,,"Killian Hurley, Jun Ding, Carlos Villacorta-Martin, Michael J. Herriges, Anjali Jacob, Marall Vedaie, Konstantinos D. Alysandratos, Yuliang L. Sun, Chieh Lin, Rhiannon B. Werder, Jessie Huang, Andrew A. Wilson, Aditya Mithal, Gustavo Mostoslavsky, Irene Oglesby, Ignacio S. Caballero, Susan H. Guttentag, Farida Ahangari, Naftali Kaminski, Alejo Rodriguez-Fraticelli, Fernando Camargo, Ziv Bar-Joseph, Darrell N. Kotton",Cell Stem Cell,Reconstructed Single-Cell Fate Trajectories Define Lineage Plasticity Windows during Differentiation of Human PSC-Derived Distal Lung Progenitors,20200130,,Chromium,,,RNA-seq,,,,,,,,,,,,,10.1016/j.stem.2019.12.009,1,Hurley et al CSC,1,
917,Wang et al SCR,10.1016/j.stemcr.2020.01.007,3,,"Single-cell RNA sequencing data were analyzed for three patients with freshly procured human GBMs in this study. (Source: ""We performed scRNA-seq on sorted CD133/GLAST-expressing tumor cells from three freshly procured human GBMs (GBM 27, GBM 28, and GBM 29, proﬁled in Table S1; available proﬁles of all tumors used in this article are listed in Table S2) for a total of 13,251 viable cells that passed quality controls..."" )",Human,"12,367","Brain, Tumor",Brain,3,,,"Rong Wang, Roshan Sharma, Xiaojuan Shen, Ashley M. Laughney, Kosuke Funato, Philip J. Clark, Monika Shpokayte, Peter Morgenstern, Monalisa Navare, Yichi Xu, Shaghayegh Harbi, Ignas Masilionis, Gouri Nanjangud, Yanhong Yang, Gabriel Duran-Rehbein, Martin Hemberg, Dana Pe'er, Viviane Tabar",Stem Cell Reports,Adult Human Glioblastomas Harbor Radial Glia-like Cells,30/01/2020,,Chromium,GSE139448,,RNA-seq,,,,18,Yes,Yes,No,Yes,Yes,,,,10.1016/j.stemcr.2020.01.007,1,Wang et al SCR,1,3
918,Ikonomou et al NCommunications,10.1038/s41467-020-14348-3,,,,Mouse,,"Brain, Lung, Thyroid",,,,,"Laertis Ikonomou, Michael J. Herriges, Sara L. Lewandowski, Robert Marsland, Carlos Villacorta-Martin, Ignacio S. Caballero, David B. Frank, Reeti M. Sanghrajka, Keri Dame, Maciej M. Kańduła, Julia Hicks-Berthet, Matthew L. Lawton, Constantina Christodoulou, Attila J. Fabian, Eric Kolaczyk, Xaralabos Varelas, Edward E. Morrisey, John M. Shannon, Pankaj Mehta, Darrell N. Kotton",Nat Commun,The in vivo genetic program of murine primordial lung epithelial progenitors,20200131,,Chromium,,,RNA-seq,,,,,,,,,,,,,10.1038/s41467-020-14348-3,1,Ikonomou et al NCommunications,1,
919,Hoa et al FMN,10.3389/fnmol.2020.00013,,,,Mouse,279,Ear,,,,,"Michael Hoa, Rafal Olszewski, Xiaoyi Li, Ian Taukulis, Shoujun Gu, Alvin DeTorres, Ivan A. Lopez, Fred H. Linthicum Jr., Akira Ishiyama, Daniel Martin, Robert J. Morell, Matthew W. Kelley",Front. Mol. Neurosci.,Characterizing Adult Cochlear Supporting Cell Transcriptional Diversity Using Single-Cell RNA-Seq: Validation in the Adult Mouse and Translational Implications for the Adult Human Cochlea,20200205,10.1101/742270,SMARTer (C1),GSE135703,,RNA-seq,,,,,,,,Yes,Yes,,,,10.3389/fnmol.2020.00013,1,Hoa et al FMN,1,
920,Sandén et al NCommunications,10.1038/s41467-019-14106-0,1,,"The study analyzed single-cell RNA-seq data for one case using the 10x Genomics platform. The source sentence is ""We performed scRNA-seq with the 10× Genomics platform on one such case and identi ﬁed monosomy 7 in the diagnostic sample and two xenografts from AML-34, where clones with losses of either allele emerged in different frequencies.""","Human, Mouse",,Tumor,Tumor,3,,,"Carl Sandén, Henrik Lilljebjörn, Christina Orsmark Pietras, Rasmus Henningsson, Karim H. Saba, Niklas Landberg, Hanna Thorsson, Sofia von Palffy, Pablo Peña-Martinez, Carl Högberg, Marianne Rissler, David Gisselsson, Vladimir Lazarevic, Gunnar Juliusson, Helena Ågerstam, Thoas Fioretos",Nat Commun,Clonal competition within complex evolutionary hierarchies shapes AML over time,05/02/2020,,Chromium,,,RNA-seq,,,,,,,,,,,,,10.1038/s41467-019-14106-0,1,Sandén et al NCommunications,1,
921,Jadhav et al MCell,10.1016/j.molcel.2020.01.017,,,,Mouse,,Intestine,,,,,"Unmesh Jadhav, Elisa Manieri, Kodandaramireddy Nalapareddy, Shariq Madha, Shaon Chakrabarti, Kai Wucherpfennig, Megan Barefoot, Ramesh A. Shivdasani",Molecular Cell,Replicational Dilution of H3K27me3 in Mammalian Cells and the Role of Poised Promoters,20200205,,Chromium,,,RNA-seq,,,,,,,,,,,,,10.1016/j.molcel.2020.01.017,1,Jadhav et al MCell,1,
922,He et al JACI,10.1016/j.jaci.2020.01.042,12,,Single-cell RNA sequencing data were analyzed for 5 patients with AD (4 lesional samples and 5 nonlesional samples) and 7 healthy control subjects.,Human,"39,042",Skin,Skin,3,,,"Helen He, Hemant Suryawanshi, Pavel Morozov, Jesús Gay-Mimbrera, Ester Del Duca, Hyun Je Kim, Naoya Kameyama, Yeriel Estrada, Evan Der, James G. Krueger, Juan Ruano, Thomas Tuschl, Emma Guttman-Yassky",Journal of Allergy and Clinical Immunology,Single-cell transcriptome analysis of human skin identifies novel fibroblast subpopulation and enrichment of immune subsets in atopic dermatitis,07/02/2020,,Chromium,,,RNA-seq,,,,,,,,,,,,,10.1016/j.jaci.2020.01.042,1,He et al JACI,1,
923,Glaser et al PNAS,10.1073/pnas.1913481117,,,,"Human, Mouse",,Heart,,,,Animal data,"Simone F. Glaser, Andreas W. Heumüller, Lukas Tombor, Patrick Hofmann, Marion Muhly-Reinholz, Ariane Fischer, Stefan Günther, Karoline E. Kokot, Hitoshi Okada, David Hassel, Sandeep Kumar, Hanjoong Jo, Reinier A. Boon, Wesley Abplanalp, David John, Jes-Niels Boeckel, Stefanie Dimmeler",Proc Natl Acad Sci USA,The histone demethylase JMJD2B regulates endothelial-to-mesenchymal transition,08/02/2020,,Chromium,,,RNA-seq,,,,,,,,,,,,,10.1073/pnas.1913481117,1,Glaser et al PNAS,1,
924,Cuomo et al NCommunications,10.1038/s41467-020-14457-z,125,,,Human,"36,044",Culture,,,,,"Anna S. E. Cuomo, HipSci Consortium, Daniel D. Seaton, Davis J. McCarthy, Iker Martinez, Marc Jan Bonder, Jose Garcia-Bernardo, Shradha Amatya, Pedro Madrigal, Abigail Isaacson, Florian Buettner, Andrew Knights, Kedar Nath Natarajan, Ludovic Vallier, John C. Marioni, Mariya Chhatriwala, Oliver Stegle",Nat Commun,Single-cell RNA-sequencing of differentiating iPS cells reveals dynamic genetic effects on gene expression,20200210,10.1101/630996,Smart-seq2,https://zenodo.org/record/3625024#.Xil-0y2cZ0s,,RNA-seq,Endoderm differentiated iPSCs,,,,No,Yes,No,Yes,No,,,,10.1038/s41467-020-14457-z,1,Cuomo et al NCommunications,1,125
925,Hu et al CCell,10.1016/j.ccell.2020.01.003,16,,Single-cell RNA sequencing data were analyzed for a total of 16 donors/patients/individuals in this study.,Human,"6,000",Fallopian tube,Reproductive system,3,,,"Zhiyuan Hu, Mara Artibani, Abdulkhaliq Alsaadi, Nina Wietek, Matteo Morotti, Tingyan Shi, Zhe Zhong, Laura Santana Gonzalez, Salma El-Sahhar, Mohammad KaramiNejadRanjbar, Garry Mallett, Yun Feng, Kenta Masuda, Yiyan Zheng, Kay Chong, Stephen Damato, Sunanda Dhar, Leticia Campo, Riccardo Garruto Campanile, Hooman Soleymani majd, Vikram Rai, David Maldonado-Perez, Stephanie Jones, Vincenzo Cerundolo, Tatjana Sauka-Spengler, Christopher Yau, Ahmed Ashour Ahmed",Cancer Cell,The Repertoire of Serous Ovarian Cancer Non-genetic Heterogeneity Revealed by Single-Cell Sequencing of Normal Fallopian Tube Epithelial Cells,10/02/2020,10.1101/672626,Smart-seq2,,,RNA-seq,,,,,Yes,Yes,,,,,,,10.1016/j.ccell.2020.01.003,1,Hu et al CCell,1,
926,Laugney et al NMedicine,10.1038/s41591-019-0750-6,14,Samples were collected from 14 patients spanning stage I–IV disease,,Human,,"Lung, Tumor",Respiratory system,3,,,"Ashley M. Laughney, Jing Hu, Nathaniel R. Campbell, Samuel F. Bakhoum, Manu Setty, Vincent-Philippe Lavallée, Yubin Xie, Ignas Masilionis, Ambrose J. Carr, Sanjay Kottapalli, Viola Allaj, Marissa Mattar, Natasha Rekhtman, Joao B. Xavier, Linas Mazutis, John T. Poirier, Charles M. Rudin, Dana Pe’er, Joan Massagué",Nat Med,Regenerative lineages and immune-mediated pruning in lung cancer metastasis,10/02/2020,,Chromium,GSE123904,,RNA-seq,,,,,,,,,,,,,10.1038/s41591-019-0750-6,1,Laugney et al NMedicine,1,
927,Chandra et al CResearch,10.1158/0008-5472.CAN-19-1305,,,,Mouse,,Tumor,,,,,"Ankush Chandra, Arman Jahangiri, William Chen, Alan T. Nguyen, Garima Yagnik, Matheus P. Pereira, Saket Jain, Joseph H. Garcia, Sumedh S. Shah, Harsh Wadhwa, Rushikesh S. Joshi, Jacob Weiss, Kayla J. Wolf, Jung-Ming G. Lin, Sören Müller, Jonathan W. Rick, Aaron A. Diaz, Luke A. Gilbert, Sanjay Kumar, Manish K. Aghi",Cancer Res,Clonal ZEB1-Driven Mesenchymal Transition Promotes Targetable Oncologic Antiangiogenic Therapy Resistance,20200210,,Chromium,,,RNA-seq,,,,,,,,,,,,,10.1158/0008-5472.CAN-19-1305,1,Chandra et al CResearch,1,
928,Fasolino et al Immunity,10.1016/j.immuni.2020.01.003,,,,Mouse,,Thymus,,,,,"Maria Fasolino, Naomi Goldman, Wenliang Wang, Benjamin Cattau, Yeqiao Zhou, Jelena Petrovic, Verena M. Link, Allison Cote, Aditi Chandra, Michael Silverman, Eric F. Joyce, Shawn C. Little, Klaus H. Kaestner, Ali Naji, Arjun Raj, Jorge Henao-Mejia, Robert B. Faryabi, Golnaz Vahedi",Immunity,Genetic Variation in Type 1 Diabetes Reconfigures the 3D Chromatin Organization of T Cells and Alters Gene Expression,20200211,,Chromium,,,RNA-seq,,,,,,,,,,,,,10.1016/j.immuni.2020.01.003,1,Fasolino et al Immunity,1,
929,Aynaud et al CReports,10.1016/j.celrep.2020.01.049,3,,Single-cell RNA sequencing data were analyzed for three EwS patient-derived xenografts and an Ewing sarcoma cell line (Table 1).,Human,"1,964",Xenodraft,Xenodraft,3,,,"Marie-Ming Aynaud, Olivier Mirabeau, Nadege Gruel, Sandrine Grossetête, Valentina Boeva, Simon Durand, Didier Surdez, Olivier Saulnier, Sakina Zaïdi, Svetlana Gribkova, Aziz Fouché, Ulykbek Kairov, Virginie Raynal, Franck Tirode, Thomas G.P. Grünewald, Mylene Bohec, Sylvain Baulande, Isabelle Janoueix-Lerosey, Jean-Philippe Vert, Emmanuel Barillot, Olivier Delattre, Andrei Zinovyev",Cell Reports,Transcriptional Programs Define Intratumoral Heterogeneity of Ewing Sarcoma at Single-Cell Resolution,11/02/2020,10.1101/623710,Chromium & SMARTer (C1),,,RNA-seq,Ewing sarcoma,,,,,,,,,,,,10.1016/j.celrep.2020.01.049,1,Aynaud et al CReports,1,
930,Han et al CReports,10.1016/j.celrep.2019.12.091,,,,,,,,,,,"Qifeng Han, Todd Bradley, Wilton B. Williams, Derek W. Cain, David C. Montefiori, Kevin O. Saunders, Robert J. Parks, Regina W. Edwards, Guido Ferrari, Olaf Mueller, Xiaoying Shen, Kevin J. Wiehe, Steven Reed, Christopher B. Fox, Wes Rountree, Nathan A. Vandergrift, Yunfei Wang, Laura L. Sutherland, Sampa Santra, M. Anthony Moody, Sallie R. Permar, Georgia D. Tomaras, Mark G. Lewis, Koen K.A. Van Rompay, Barton F. Haynes",Cell Reports,Neonatal Rhesus Macaques Have Distinct Immune Cell Transcriptional Profiles following HIV Envelope Immunization,20200211,,Chromium,,,RNA-seq,,,,,,,,,,,,,10.1016/j.celrep.2019.12.091,1,Han et al CReports,1,
931,Sridhar et al CReports,10.1016/j.celrep.2020.01.007,,,"The sentence ""Counts were calculated for each dataset and then averaged by fetal or organoid"" indicates that the single-cell RNA sequencing data were analyzed for multiple fetuses and retinal organoids, but the exact number is not specified in the provided text.",Human,,"Eye, Culture",,,,Organoid data,"Akshayalakshmi Sridhar, Akina Hoshino, Connor R. Finkbeiner, Alex Chitsazan, Li Dai, Alexandra K. Haugan, Kayla M. Eschenbacher, Dana L. Jackson, Cole Trapnell, Olivia Bermingham-McDonogh, Ian Glass, Thomas A. Reh",Cell Reports,"Single-Cell Transcriptomic Comparison of Human Fetal Retina, hPSC-Derived Retinal Organoids, and Long-Term Retinal Cultures",11/02/2020,,Chromium,GSE142526,,RNA-seq,"Fetal retina, hPSC-derived retinal organoids, long-term retinal cultures",,"8.5w, 11.7w, 17.9w",,,Yes,,,,,,,10.1016/j.celrep.2020.01.007,1,Sridhar et al CReports,1,
932,Dang et al MPsychiatry,10.1038/s41380-020-0676-x,,,,Human,,Organoid,,,,,"Jason Dang, Shashi Kant Tiwari, Kriti Agrawal, Hui Hui, Yue Qin, Tariq M. Rana",Mol Psychiatry,Glial cell diversity and methamphetamine-induced neuroinflammation in human cerebral organoids,12/02/2020,,Chromium,,,RNA-seq,,,,,,,,,,,,,10.1038/s41380-020-0676-x,1,Dang et al MPsychiatry,1,
933,Kong et al NProtocols,10.1038/s41596-019-0247-2,,,,"Human, Mouse",,,,,,Culture data,"Wenjun Kong, Brent A. Biddy, Kenji Kamimoto, Junedh M. Amrute, Emily G. Butka, Samantha A. Morris",Nat Protoc,CellTagging: combinatorial indexing to simultaneously map lineage and identity at single-cell resolution,12/02/2020,,Chromium,,,RNA-seq,,,,,,,,,,,,,10.1038/s41596-019-0247-2,1,Kong et al NProtocols,1,
934,Norimoto et al Nature,10.1038/s41586-020-1993-6,,,,Pogona vitticeps,,Brain,,,,,"Hiroaki Norimoto, Lorenz A. Fenk, Hsing-Hsi Li, Maria Antonietta Tosches, Tatiana Gallego-Flores, David Hain, Sam Reiter, Riho Kobayashi, Angeles Macias, Anja Arends, Michaela Klinkmann, Gilles Laurent",Nature,A claustrum in reptiles and its role in slow-wave sleep,20200212,,Chromium,,,RNA-seq,,,,,,,,,,,,,10.1038/s41586-020-1993-6,1,Norimoto et al Nature,1,
935,Wheeler et al Nature,10.1038/s41586-020-1999-0,48,,"Single-cell RNA sequencing data was analyzed for 20 MS patients and 28 control individuals in this study. (Source: ""To expand our dataset, we identified astrocytes in data from scRNA-seq analysis of cortical and cerebellar samples from patients with MS and control individuals...This approach generated an integrated scRNA-seq dataset containing 9,673 cortical and cerebellar astrocytes derived from 20 patients with MS and 28 control individuals."")","Human, Mouse","92,908",Brain,Brain,3,,,"Michael A. Wheeler, Iain C. Clark, Emily C. Tjon, Zhaorong Li, Stephanie E. J. Zandee, Charles P. Couturier, Brianna R. Watson, Giulia Scalisi, Sarah Alkwai, Veit Rothhammer, Assaf Rotem, John A. Heyman, Shravan Thaploo, Liliana M. Sanmarco, Jiannis Ragoussis, David A. Weitz, Kevin Petrecca, Jeffrey R. Moffitt, Burkhard Becher, Jack P. Antel, Alexandre Prat, Francisco J. Quintana",Nature,MAFG-driven astrocytes promote CNS inflammation,12/02/2020,,Drop-seq & Chromium,GSE130119,,RNA-seq,,Multiple sclerosis,,23,Yes,Yes,No,Yes,Yes,,,,10.1038/s41586-020-1999-0,1,Wheeler et al Nature,1,
936,do Valle Duraes et al JCIInsight,10.1172/jci.insight.130651,,,,Mouse,,Kidney,,,,,"Fernanda do Valle Duraes, Armelle Lafont, Martin Beibel, Kea Martin, Katy Darribat, Rachel Cuttat, Annick Waldt, Ulrike Naumann, Grazyna Wieczorek, Swann Gaulis, Sabina Pfister, Kirsten D. Mertz, Jianping Li, Guglielmo Roma, Max Warncke",JCI Insight,Immune cell landscaping reveals a protective role for regulatory T cells during kidney injury and fibrosis,20200212,,Chromium,,,RNA-seq,,,,,,,,,,,,,10.1172/jci.insight.130651,1,do Valle Duraes et al JCIInsight,1,
937,Zhao et al CLetters,10.1016/j.canlet.2020.02.010,3,Single cell RNA-seq revealed the intra- and inter-tumoral heterogeneity of NPC in 3 patients.,,Human,,Tumor,Tumor,3,,,"Jin Zhao, Can Guo, Fang Xiong, Jianjun Yu, Junshang Ge, Hui Wang, Qianjin Liao, Yujuan Zhou, Qian Gong, Bo Xiang, Ming Zhou, Xiaoling Li, Guiyuan Li, Wei Xiong, Jian Fang, Zhaoyang Zeng",Cancer Letters,Single cell RNA-seq reveals the landscape of tumor and infiltrating immune cells in nasopharyngeal carcinoma,13/02/2020,,Chromium,,,RNA-seq,,,,,,,,,,,,,10.1016/j.canlet.2020.02.010,1,Zhao et al CLetters,1,
938,Nelson et al NCommunications,10.1038/s41467-020-14551-2,12,,"Single-cell RNA sequencing data were analyzed for 12 different patients in this study. This information can be found in the sentence: ""Principal component analysis (PCA) showed that the stromal cultures clustered very closely, despite originating from 12 different patients.""",Human,,Ovary,Reproductive system,3,,,"Louisa Nelson, Anthony Tighe, Anya Golder, Samantha Littler, Bjorn Bakker, Daniela Moralli, Syed Murtuza Baker, Ian J. Donaldson, Diana C. J. Spierings, René Wardenaar, Bethanie Neale, George J. Burghel, Brett Winter-Roach, Richard Edmondson, Andrew R. Clamp, Gordon C. Jayson, Sudha Desai, Catherine M. Green, Andy Hayes, Floris Foijer, Robert D. Morgan, Stephen S. Taylor",Nat Commun,A living biobank of ovarian cancer ex vivo models reveals profound mitotic heterogeneity,13/02/2020,,Chromium,,,RNA-seq,,,,,,,,,,,,,10.1038/s41467-020-14551-2,1,Nelson et al NCommunications,1,
939,Ellis et al DCell,10.1016/j.devcel.2020.01.009,,,,Mouse,,Lung,,,,,"Lisandra Vila Ellis, Margo P. Cain, Vera Hutchison, Per Flodby, Edward D. Crandall, Zea Borok, Bin Zhou, Edwin J. Ostrin, Joshua D. Wythe, Jichao Chen",Developmental Cell,Epithelial Vegfa Specifies a Distinct Endothelial Population in the Mouse Lung,20200213,,Chromium,,,RNA-seq,,,,,,,,,,,,,10.1016/j.devcel.2020.01.009,1,Ellis et al DCell,1,
